;;;;;;;;;;;x;;;;
PROV1697;Madetubadu;;;;;;;;;;x;;;;
PROV1698;Alele;;;;;;;;;;x;;;;
PROV1700;Icosium;;;;;;;;;;x;;;;
PROV1701;Saldae;;;;;;;;;;x;;;;
PROV1704;Unica;;;;;;;;;;x;;;;
PROV1705;Altava;;;;;;;;;;x;;;;
PROV1706;Caesarea;;;;;;;;;;x;;;;
PROV1708;Constantina;;;;;;;;;;x;;;;
PROV1709;Hippona;;;;;;;;;;x;;;;
PROV1710;Vescera;;;;;;;;;;x;;;;
PROV1711;Badias;;;;;;;;;;x;;;;
PROV1713;Dimmidi;;;;;;;;;;x;;;;
PROV1725;Carthago;;;;;;;;;;x;;;;
PROV1726;Hippo Zarytus;;;;;;;;;;x;;;;
PROV1727;Capsa;;;;;;;;;;x;;;;
PROV1728;Adrumetu;;;;;;;;;;x;;;;
PROV1729;Tamalleni;;;;;;;;;;x;;;;
PROV1730;Tacape;;;;;;;;;;x;;;;
PROV1733;Thubactis;;;;;;;;;;x;;;;
PROV1734;Syrtis;;;;;;;;;;x;;;;
PROV1735;Berenice;;;;;;;;;;x;;;;
PROV1736;Darnis;;;;;;;;;;x;;;;
PROV1737;Antipyrgus;;;;;;;;;;x;;;;
PROV1745;Memphis;;;;;;;;;;x;;;;
PROV1746;Tamiathis;;;;;;;;;;x;;;;
PROV1749;Tanis;;;;;;;;;;x;;;;
PROV1748;Athribis;;;;;;;;;;x;;;;
PROV1754;Ammonium;;;;;;;;;;x;;;;
PROV1772;Qubba;;;;;;;;;;x;;;;
PROV1827;Soba;;;;;;;;;;x;;;;
PROV1937;Nau Namntas;;;;;;;;;;x;;;;
PROV1972;Pòrt Okolo;;;;;;;;;;x;;;;
PROV2087;Promontoria;;;;;;;;;;x;;;;
PROV2088;Forocupro;;;;;;;;;;x;;;;
PROV2089;Belitania;;;;;;;;;;x;;;;
PROV2090;Sanctu Iacobu;;;;;;;;;;x;;;;
PROV2091;Bai di llo Gwacheir;;;;;;;;;;x;;;;
PROV2092;Scalabis;;;;;;;;;;x;;;;
PROV2093;Nova Olisipona;;;;;;;;;;x;;;;
PROV2094;Condate;;;;;;;;;;x;;;;
PROV2096;Novus Portus;;;;;;;;;;x;;;;
PROV2097;Nukakamma;;;;;;;;;;x;;;;
PROV2101;Thaba 'Nchu;;;;;;;;;;x;;;;
PROV2105;Siyabuswa;;;;;;;;;;x;;;;
PROV2106;Tlokwe;;;;;;;;;;x;;;;
PROV2107;Tky-Gariep;;;;;;;;;;x;;;;
PROV2109;Leghoya;;;;;;;;;;x;;;;
PROV2134;Sent Amfion;;;;;;;;;;x;;;;
PROV2239;Castr Geory;;;;;;;;;;x;;;;
PROV2251;Brithemagus;;;;;;;;;;x;;;;
PROV2252;Muinin;;;;;;;;;;x;;;;
PROV2254;Gloviola;;;;;;;;;;x;;;;
PROV2255;New Segeint;;;;;;;;;;x;;;;
PROV2264;Saeth Iagom;;;;;;;;;;x;;;;
PROV2268;Castrazarias;;;;;;;;;;x;;;;
PROF2269;Trefmarthyr;;;;;;;;;;x;;;;
PROV2270;Leughar;;;;;;;;;;x;;;;
PROV2271;Porth Conan;;;;;;;;;;x;;;;
PROV2274;Tref Mathin;;;;;;;;;;x;;;;
PROV2310;La Patz;;;;;;;;;;x;;;;
PROV2316;Senta Crotz;;;;;;;;;;x;;;;
PROV2319;Senta Ana;;;;;;;;;;x;;;;
PROV2324;Sanctiaco;;;;;;;;;;x;;;;
PROV2339;Assumdiwn;;;;;;;;;;x;;;;
PROV2341;Ingharnadiwn;;;;;;;;;;x;;;;
PROV2342;Sanctus Petrus;;;;;;;;;;x;;;;
PROV2343;Conghebdiwn;;;;;;;;;;x;;;;
PROV2344;Tapes;;;;;;;;;;x;;;;
PROV2351;Platinia;;;;;;;;;;x;;;;
PROV2352;Quequén;;;;;;;;;;x;;;;
PROV2354;Baia;;;;;;;;;;x;;;;
PROV2356;Llo Comithem;;;;;;;;;;x;;;;
PROV2358;Sanctus Thomas;;;;;;;;;;x;;;;
PROV2359;Colonia;;;;;;;;;;x;;;;
PROV2362;Sancta Maria;;;;;;;;;;x;;;;
PROV2363;Calchaquí;;;;;;;;;;x;;;;
PROV2364;Resistantia;;;;;;;;;;x;;;;
PROV2365;Angelia;;;;;;;;;;x;;;;
PROV2383;Sanctus Lodoycus;;;;;;;;;;x;;;;
PROV2387;Sanctus Iohannes;;;;;;;;;;x;;;;
PROV2396;Chiquichano;;;;;;;;;;x;;;;
PROV2402;Antwyfn;;;;;;;;;;x;;;;
PROV2410;Saeth Mair;;;;;;;;;;x;;;;
PROV2424;Saeth Lludwuis;;;;;;;;;;x;;;;
PROV2428;Dinorwig;;;;;;;;;;x;;;;
PROV2429;Castredathyl;;;;;;;;;;x;;;;
PROV2430;Tref Flavia;;;;;;;;;;x;;;;
PROV2431;Novum Segontium;;;;;;;;;;x;;;;
PROV2432;Ardudwy;;;;;;;;;;x;;;;
PROV2436;Salvator di Bai;;;;;;;;;;x;;;;
PROV2437;Iuaseir;;;;;;;;;;x;;;;
PROV2439;Porth Segyr;;;;;;;;;;x;;;;
PROV2440;Buidd di Conquista;;;;;;;;;;x;;;;
PROV2443;Ianueir;;;;;;;;;;x;;;;
PROV2446;Saeth Iosep;;;;;;;;;;x;;;;
PROV2447;Afon d'Ianeir;;;;;;;;;;x;;;;
PROV2450;Saeth Pawl;;;;;;;;;;x;;;;
PROV2451;Llo Saeth;;;;;;;;;;x;;;;
PROV2455;Castr Busc;;;;;;;;;;x;;;;
PROV2460;Castr;;;;;;;;;;x;;;;
PROV2461;Destr;;;;;;;;;;x;;;;
PROV2462;Michaelia;;;;;;;;;;x;;;;
PROV2463;Porth Geiddad;;;;;;;;;;x;;;;
PROV2465;Mirim;;;;;;;;;;x;;;;
PROV2467;Alaghriwm;;;;;;;;;;x;;;;
PROV2468;Pelabuhan Gadigal;;;;;;;;;;x;;;;
PROV2472;Yuin;;;;;;;;;;x;;;;
PROV2475;Willyama;;;;;;;;;;x;;;;
PROV2476;Birrarung;;;;;;;;;;x;;;;
PROV2479;Kurnai;;;;;;;;;;x;;;;
PROV2480;Wooragee;;;;;;;;;;x;;;;
PROV2481;Matakupaat;;;;;;;;;;x;;;;
PROV2482;Paredarerme;;;;;;;;;;x;;;;
PROV2483;Mian-jin;;;;;;;;;;x;;;;
PROV2484;Baiali;;;;;;;;;;x;;;;
PROV2485;Gabalbara;;;;;;;;;;x;;;;
PROV2487;Kubu Wulgurukaba;;;;;;;;;;x;;;;
PROV2488;Gangaar;;;;;;;;;;x;;;;
PROV2489;Kuungkari;;;;;;;;;;x;;;;
PROV2490;Warrego;;;;;;;;;;x;;;;
PROV2491;Garnirby;;;;;;;;;;x;;;;
PROV2492;Erikshavn;;;;;;;;;;x;;;;
PROV2494;Sørhavn;;;;;;;;;;x;;;;
PROV2497;Boorloo;;;;;;;;;;x;;;;
PROV2502;Murujuga;;;;;;;;;;x;;;;
PROV2505;Larrakia;;;;;;;;;;x;;;;
PROV2506;Alpurrurulam;;;;;;;;;;x;;;;
PROV2507;Mparntwe;;;;;;;;;;x;;;;
PROV2510;Kirikiriroa;;;;;;;;;;x;;;;
PROV2512;Te Upoko-o-te-Ika;;;;;;;;;;x;;;;
PROV2513;Nye Fjordene;;;;;;;;;;x;;;;
PROV2532;Saeth Ioachim;;;;;;;;;;x;;;;
PROV2538;Petrecu;;;;;;;;;;x;;;;
PROV2556;Suannanoa;;;;;;;;;;x;;;;
PROV2558;Turgalio;;;;;;;;;;x;;;;
PROV2560;Darmundestada;;;;;;;;;;x;;;;
PROV2561;Buiela;;;;;;;;;;x;;;;
PROV2563;Rusabis;;;;;;;;;;x;;;;
PROV2569;Anagastu;;;;;;;;;;x;;;;
PROV2570;Beloyac;;;;;;;;;;x;;;;
PROV2583;Doclea;;;;;;;;;;x;;;;
PROV2601;Bilybara;;;;;;;;;;x;;;;
PROV2604;Kuthant;;;;;;;;;;x;;;;
PROV2610;Jayiq-Qala;;;;;;;;;;x;;;;
PROV2622;Teikokushi;;;;;;;;;;x;;;;
PROV2637;Any-an;;;;;;;;;;x;;;;
PROV2663;Pensingawa;;;;;;;;;;x;;;;
PROV2703;Esopus;;;;;;;;;;x;;;;
PROV3112;Ontarí'io;;;;;;;;;;x;;;;
PROV3113;Erielhonan;;;;;;;;;;x;;;;
PROV3114;Karegnondi;;;;;;;;;;x;;;;
PROV3115;Mishigamaa;;;;;;;;;;x;;;;
PROV3116;Gitchi-Gami;;;;;;;;;;x;;;;
PROV3249;Vänern;;;;;;;;;;x;;;;
